week_start,history_window_weeks,history_week_index,weeks_from_current,is_latest_week,product_group,sku_id,sku_name,channel_group,sales_channel,own_price,competitor_price,price_gap_vs_competitor,social_buzz_score,units_sold,revenue,promo_depth_pct
2025-03-24,52,1,-51,False,sunscreen,SUN_S1,Unseen Sunscreen SPF 50,mass,target,30.82,31.53,-0.0225,55.15,74,2280.68,8.0
2025-03-24,52,1,-51,False,sunscreen,SUN_S1,Unseen Sunscreen SPF 50,mass,amazon,29.04,31.29,-0.0719,50.23,67,1945.68,12.0
2025-03-24,52,1,-51,False,sunscreen,SUN_S1,Unseen Sunscreen SPF 50,prestige,sephora,36.66,37.47,-0.0216,52.82,44,1613.04,6.0
2025-03-24,52,1,-51,False,sunscreen,SUN_S1,Unseen Sunscreen SPF 50,prestige,ulta,36.96,37.41,-0.012,54.77,40,1478.4,4.0
2025-03-24,52,1,-51,False,sunscreen,SUN_S2,Glowscreen SPF 40,mass,target,31.95,33.97,-0.0595,53.21,78,2492.1,10.0
2025-03-24,52,1,-51,False,sunscreen,SUN_S2,Glowscreen SPF 40,mass,amazon,31.5,33.6,-0.0625,49.92,50,1575.0,10.0
2025-03-24,52,1,-51,False,sunscreen,SUN_S2,Glowscreen SPF 40,prestige,sephora,36.66,38.19,-0.0401,56.62,40,1466.4,6.0
2025-03-24,52,1,-51,False,sunscreen,SUN_S2,Glowscreen SPF 40,prestige,ulta,36.19,37.88,-0.0446,52.12,35,1266.65,6.0
2025-03-24,52,1,-51,False,sunscreen,SUN_S3,Every. Single. Face. Watery Lotion SPF 50,mass,target,28.35,30.17,-0.0603,55.32,82,2324.7,10.0
2025-03-24,52,1,-51,False,sunscreen,SUN_S3,Every. Single. Face. Watery Lotion SPF 50,mass,amazon,27.9,29.21,-0.0448,50.63,57,1590.3,10.0
2025-03-24,52,1,-51,False,sunscreen,SUN_S3,Every. Single. Face. Watery Lotion SPF 50,prestige,sephora,32.9,34.14,-0.0363,54.98,40,1316.0,6.0
2025-03-24,52,1,-51,False,sunscreen,SUN_S3,Every. Single. Face. Watery Lotion SPF 50,prestige,ulta,33.12,33.44,-0.0096,53.26,33,1092.96,4.0
2025-03-24,52,1,-51,False,moisturizer,MOI_M1,Superscreen Hydrating Daily Cream SPF 40,mass,target,38.5,36.42,0.0571,52.32,44,1694.0,0.0
2025-03-24,52,1,-51,False,moisturizer,MOI_M1,Superscreen Hydrating Daily Cream SPF 40,mass,amazon,38.0,35.91,0.0582,53.65,35,1330.0,0.0
2025-03-24,52,1,-51,False,moisturizer,MOI_M1,Superscreen Hydrating Daily Cream SPF 40,prestige,sephora,48.0,46.98,0.0217,53.98,33,1584.0,0.0
2025-03-24,52,1,-51,False,moisturizer,MOI_M1,Superscreen Hydrating Daily Cream SPF 40,prestige,ulta,47.5,45.92,0.0344,52.52,28,1330.0,0.0
2025-03-24,52,1,-51,False,moisturizer,MOI_M2,Mineral Sheerscreen SPF 30,mass,target,31.5,30.19,0.0434,56.17,51,1606.5,0.0
2025-03-24,52,1,-51,False,moisturizer,MOI_M2,Mineral Sheerscreen SPF 30,mass,amazon,31.0,29.14,0.0638,54.62,36,1116.0,0.0
2025-03-24,52,1,-51,False,moisturizer,MOI_M2,Mineral Sheerscreen SPF 30,prestige,sephora,41.0,39.43,0.0398,54.77,33,1353.0,0.0
2025-03-24,52,1,-51,False,moisturizer,MOI_M2,Mineral Sheerscreen SPF 30,prestige,ulta,40.5,39.89,0.0153,54.97,29,1174.5,0.0
2025-03-24,52,1,-51,False,moisturizer,MOI_M3,(Re)setting 100% Mineral Powder SPF 35,mass,target,27.5,25.8,0.0659,49.37,43,1182.5,0.0
2025-03-24,52,1,-51,False,moisturizer,MOI_M3,(Re)setting 100% Mineral Powder SPF 35,mass,amazon,27.0,25.39,0.0634,54.54,32,864.0,0.0
2025-03-24,52,1,-51,False,moisturizer,MOI_M3,(Re)setting 100% Mineral Powder SPF 35,prestige,sephora,36.0,35.25,0.0213,57.4,28,1008.0,0.0
2025-03-24,52,1,-51,False,moisturizer,MOI_M3,(Re)setting 100% Mineral Powder SPF 35,prestige,ulta,35.5,34.91,0.0169,56.46,25,887.5,0.0
2025-03-31,52,2,-50,False,sunscreen,SUN_S1,Unseen Sunscreen SPF 50,mass,target,30.15,31.43,-0.0407,46.74,81,2442.15,10.0
2025-03-31,52,2,-50,False,sunscreen,SUN_S1,Unseen Sunscreen SPF 50,mass,amazon,30.36,31.2,-0.0269,47.63,63,1912.68,8.0
2025-03-31,52,2,-50,False,sunscreen,SUN_S1,Unseen Sunscreen SPF 50,prestige,sephora,37.44,38.28,-0.0219,50.48,43,1609.92,4.0
2025-03-31,52,2,-50,False,sunscreen,SUN_S1,Unseen Sunscreen SPF 50,prestige,ulta,36.96,37.75,-0.0209,50.15,37,1367.52,4.0
