segment_key,channel_group,customer_count,repeat_loss_rate,avg_order_value,avg_units_per_order,avg_cac,promo_redemption_rate,margin_rate
seasonal_first_time|prestige_loyalist|single_sku_staple,mass,471,0.066,30.34,1.21,14.82,0.151,0.438
seasonal_first_time|prestige_loyalist|single_sku_staple,prestige,507,0.059,41.66,1.21,16.8,0.151,0.578
seasonal_first_time|prestige_loyalist|multi_sku_builder,mass,205,0.078,80.2,2.38,14.82,0.145,0.458
seasonal_first_time|prestige_loyalist|multi_sku_builder,prestige,753,0.04,92.15,2.39,16.8,0.147,0.598
seasonal_first_time|prestige_loyalist|value_bundle_buyer,mass,313,0.067,64.04,2.24,14.8,0.168,0.394
seasonal_first_time|prestige_loyalist|value_bundle_buyer,prestige,112,0.089,74.85,2.11,16.8,0.169,0.534
seasonal_first_time|prestige_loyalist|premium_add_on,mass,117,0.06,66.25,1.7,14.8,0.132,0.471
seasonal_first_time|prestige_loyalist|premium_add_on,prestige,530,0.068,75.58,1.8,16.8,0.134,0.611
seasonal_first_time|prestige_loyalist|trial_size_sampler,mass,261,0.119,24.67,1.1,14.87,0.158,0.406
seasonal_first_time|prestige_loyalist|trial_size_sampler,prestige,295,0.061,34.64,1.12,16.8,0.16,0.546
seasonal_first_time|value_seeker|single_sku_staple,mass,1592,0.125,30.66,1.18,14.84,0.203,0.398
seasonal_first_time|value_seeker|single_sku_staple,prestige,304,0.115,41.53,1.19,16.8,0.204,0.538
seasonal_first_time|value_seeker|multi_sku_builder,mass,774,0.109,81.1,2.36,14.81,0.199,0.419
seasonal_first_time|value_seeker|multi_sku_builder,prestige,352,0.119,92.8,2.38,16.8,0.199,0.559
seasonal_first_time|value_seeker|value_bundle_buyer,mass,1125,0.125,63.75,2.2,14.87,0.222,0.355
seasonal_first_time|value_seeker|value_bundle_buyer,prestige,155,0.058,74.63,2.11,16.8,0.216,0.495
seasonal_first_time|value_seeker|premium_add_on,mass,395,0.154,66.25,1.63,14.82,0.187,0.431
seasonal_first_time|value_seeker|premium_add_on,prestige,351,0.105,75.53,1.74,16.8,0.186,0.571
seasonal_first_time|value_seeker|trial_size_sampler,mass,954,0.134,24.66,1.04,14.83,0.211,0.366
seasonal_first_time|value_seeker|trial_size_sampler,prestige,224,0.071,34.37,1.07,16.8,0.211,0.507
seasonal_first_time|deal_hunter|single_sku_staple,mass,1190,0.222,30.95,1.11,14.81,0.233,0.375
seasonal_first_time|deal_hunter|single_sku_staple,prestige,149,0.228,41.73,1.11,16.8,0.231,0.515
seasonal_first_time|deal_hunter|multi_sku_builder,mass,579,0.238,81.06,2.26,14.79,0.228,0.396
seasonal_first_time|deal_hunter|multi_sku_builder,prestige,171,0.17,92.52,2.34,16.8,0.229,0.536
seasonal_first_time|deal_hunter|value_bundle_buyer,mass,869,0.222,63.89,2.07,14.84,0.251,0.332
seasonal_first_time|deal_hunter|value_bundle_buyer,prestige,73,0.315,75.51,1.9,16.8,0.253,0.472
seasonal_first_time|deal_hunter|premium_add_on,mass,294,0.197,66.29,1.56,14.85,0.217,0.408
seasonal_first_time|deal_hunter|premium_add_on,prestige,137,0.19,75.51,1.67,16.8,0.218,0.548
seasonal_first_time|deal_hunter|trial_size_sampler,mass,767,0.233,24.62,0.92,14.85,0.243,0.344
seasonal_first_time|deal_hunter|trial_size_sampler,prestige,76,0.211,34.2,0.94,16.8,0.244,0.483
seasonal_first_time|occasional_shop|single_sku_staple,mass,1037,0.206,30.33,1.02,14.81,0.19,0.4
seasonal_first_time|occasional_shop|single_sku_staple,prestige,299,0.154,41.09,1.05,16.8,0.192,0.54
seasonal_first_time|occasional_shop|multi_sku_builder,mass,515,0.181,81.16,2.16,14.84,0.186,0.421
seasonal_first_time|occasional_shop|multi_sku_builder,prestige,308,0.146,92.44,2.25,16.8,0.186,0.561
seasonal_first_time|occasional_shop|value_bundle_buyer,mass,806,0.179,63.79,1.93,14.84,0.208,0.357
seasonal_first_time|occasional_shop|value_bundle_buyer,prestige,159,0.088,73.53,1.96,16.8,0.208,0.497
