customer_id,channel_group,acquisition_segment,engagement_segment,monetization_segment,segment_key
CUST000001,prestige,influencer_discovered,prestige_loyalist,premium_add_on,influencer_discovered|prestige_loyalist|premium_add_on
CUST000002,mass,routine_refill,prestige_loyalist,premium_add_on,routine_refill|prestige_loyalist|premium_add_on
CUST000003,mass,promo_triggered,prestige_loyalist,value_bundle_buyer,promo_triggered|prestige_loyalist|value_bundle_buyer
CUST000004,prestige,routine_refill,deal_hunter,value_bundle_buyer,routine_refill|deal_hunter|value_bundle_buyer
CUST000005,mass,influencer_discovered,channel_switcher,value_bundle_buyer,influencer_discovered|channel_switcher|value_bundle_buyer
CUST000006,prestige,gift_buyer,channel_switcher,single_sku_staple,gift_buyer|channel_switcher|single_sku_staple
CUST000007,mass,seasonal_first_time,prestige_loyalist,trial_size_sampler,seasonal_first_time|prestige_loyalist|trial_size_sampler
CUST000008,prestige,gift_buyer,value_seeker,trial_size_sampler,gift_buyer|value_seeker|trial_size_sampler
CUST000009,prestige,gift_buyer,prestige_loyalist,trial_size_sampler,gift_buyer|prestige_loyalist|trial_size_sampler
CUST000010,mass,routine_refill,channel_switcher,trial_size_sampler,routine_refill|channel_switcher|trial_size_sampler
CUST000011,mass,seasonal_first_time,occasional_shop,premium_add_on,seasonal_first_time|occasional_shop|premium_add_on
CUST000012,mass,routine_refill,prestige_loyalist,premium_add_on,routine_refill|prestige_loyalist|premium_add_on
CUST000013,mass,routine_refill,value_seeker,single_sku_staple,routine_refill|value_seeker|single_sku_staple
CUST000014,prestige,seasonal_first_time,prestige_loyalist,trial_size_sampler,seasonal_first_time|prestige_loyalist|trial_size_sampler
CUST000015,mass,routine_refill,deal_hunter,multi_sku_builder,routine_refill|deal_hunter|multi_sku_builder
CUST000016,prestige,influencer_discovered,prestige_loyalist,single_sku_staple,influencer_discovered|prestige_loyalist|single_sku_staple
CUST000017,prestige,gift_buyer,channel_switcher,value_bundle_buyer,gift_buyer|channel_switcher|value_bundle_buyer
CUST000018,mass,routine_refill,channel_switcher,trial_size_sampler,routine_refill|channel_switcher|trial_size_sampler
CUST000019,prestige,seasonal_first_time,channel_switcher,single_sku_staple,seasonal_first_time|channel_switcher|single_sku_staple
CUST000020,prestige,seasonal_first_time,deal_hunter,trial_size_sampler,seasonal_first_time|deal_hunter|trial_size_sampler
CUST000021,prestige,seasonal_first_time,value_seeker,value_bundle_buyer,seasonal_first_time|value_seeker|value_bundle_buyer
CUST000022,prestige,routine_refill,value_seeker,trial_size_sampler,routine_refill|value_seeker|trial_size_sampler
CUST000023,prestige,routine_refill,channel_switcher,premium_add_on,routine_refill|channel_switcher|premium_add_on
CUST000024,mass,promo_triggered,prestige_loyalist,premium_add_on,promo_triggered|prestige_loyalist|premium_add_on
CUST000025,mass,influencer_discovered,prestige_loyalist,value_bundle_buyer,influencer_discovered|prestige_loyalist|value_bundle_buyer
CUST000026,mass,seasonal_first_time,prestige_loyalist,value_bundle_buyer,seasonal_first_time|prestige_loyalist|value_bundle_buyer
CUST000027,prestige,seasonal_first_time,occasional_shop,premium_add_on,seasonal_first_time|occasional_shop|premium_add_on
CUST000028,prestige,influencer_discovered,occasional_shop,premium_add_on,influencer_discovered|occasional_shop|premium_add_on
CUST000029,prestige,promo_triggered,prestige_loyalist,trial_size_sampler,promo_triggered|prestige_loyalist|trial_size_sampler
CUST000030,mass,promo_triggered,occasional_shop,single_sku_staple,promo_triggered|occasional_shop|single_sku_staple
CUST000031,prestige,promo_triggered,channel_switcher,multi_sku_builder,promo_triggered|channel_switcher|multi_sku_builder
CUST000032,mass,promo_triggered,value_seeker,multi_sku_builder,promo_triggered|value_seeker|multi_sku_builder
CUST000033,prestige,routine_refill,deal_hunter,value_bundle_buyer,routine_refill|deal_hunter|value_bundle_buyer
CUST000034,prestige,routine_refill,occasional_shop,single_sku_staple,routine_refill|occasional_shop|single_sku_staple
CUST000035,prestige,gift_buyer,occasional_shop,value_bundle_buyer,gift_buyer|occasional_shop|value_bundle_buyer
CUST000036,mass,routine_refill,occasional_shop,value_bundle_buyer,routine_refill|occasional_shop|value_bundle_buyer
CUST000037,mass,seasonal_first_time,occasional_shop,premium_add_on,seasonal_first_time|occasional_shop|premium_add_on
CUST000038,prestige,gift_buyer,prestige_loyalist,trial_size_sampler,gift_buyer|prestige_loyalist|trial_size_sampler
CUST000039,mass,routine_refill,deal_hunter,trial_size_sampler,routine_refill|deal_hunter|trial_size_sampler
CUST000040,mass,seasonal_first_time,deal_hunter,multi_sku_builder,seasonal_first_time|deal_hunter|multi_sku_builder
CUST000041,prestige,routine_refill,deal_hunter,multi_sku_builder,routine_refill|deal_hunter|multi_sku_builder
CUST000042,prestige,influencer_discovered,channel_switcher,value_bundle_buyer,influencer_discovered|channel_switcher|value_bundle_buyer
CUST000043,mass,gift_buyer,deal_hunter,single_sku_staple,gift_buyer|deal_hunter|single_sku_staple
CUST000044,mass,seasonal_first_time,channel_switcher,multi_sku_builder,seasonal_first_time|channel_switcher|multi_sku_builder
CUST000045,prestige,influencer_discovered,prestige_loyalist,multi_sku_builder,influencer_discovered|prestige_loyalist|multi_sku_builder
CUST000046,prestige,promo_triggered,prestige_loyalist,value_bundle_buyer,promo_triggered|prestige_loyalist|value_bundle_buyer
CUST000047,mass,routine_refill,prestige_loyalist,single_sku_staple,routine_refill|prestige_loyalist|single_sku_staple
CUST000048,prestige,promo_triggered,deal_hunter,value_bundle_buyer,promo_triggered|deal_hunter|value_bundle_buyer
CUST000049,mass,routine_refill,prestige_loyalist,multi_sku_builder,routine_refill|prestige_loyalist|multi_sku_builder
CUST000050,mass,routine_refill,channel_switcher,value_bundle_buyer,routine_refill|channel_switcher|value_bundle_buyer
CUST000051,mass,gift_buyer,occasional_shop,multi_sku_builder,gift_buyer|occasional_shop|multi_sku_builder
CUST000052,prestige,routine_refill,occasional_shop,value_bundle_buyer,routine_refill|occasional_shop|value_bundle_buyer
CUST000053,mass,promo_triggered,occasional_shop,value_bundle_buyer,promo_triggered|occasional_shop|value_bundle_buyer
CUST000054,prestige,promo_triggered,prestige_loyalist,trial_size_sampler,promo_triggered|prestige_loyalist|trial_size_sampler
CUST000055,prestige,seasonal_first_time,occasional_shop,multi_sku_builder,seasonal_first_time|occasional_shop|multi_sku_builder
CUST000056,prestige,routine_refill,value_seeker,single_sku_staple,routine_refill|value_seeker|single_sku_staple
CUST000057,prestige,routine_refill,deal_hunter,trial_size_sampler,routine_refill|deal_hunter|trial_size_sampler
CUST000058,prestige,influencer_discovered,value_seeker,value_bundle_buyer,influencer_discovered|value_seeker|value_bundle_buyer
CUST000059,mass,gift_buyer,deal_hunter,value_bundle_buyer,gift_buyer|deal_hunter|value_bundle_buyer
CUST000060,mass,seasonal_first_time,prestige_loyalist,single_sku_staple,seasonal_first_time|prestige_loyalist|single_sku_staple
CUST000061,prestige,seasonal_first_time,occasional_shop,premium_add_on,seasonal_first_time|occasional_shop|premium_add_on
